
6, Looking for Richard, Lindy Vesque, 245.18, 1
7, Paycheck, Stevena Strutz, 283.25, 1
8, John Wick, Channa Dohms, 0.66, 2
9, Betsys Wedding, Inez Brinsford, 6.70, 1
12, Welcome to the Rileys, Ab Bilston, 633.01, 2
13, Lolo, Giffard MattiCCI, 229.75, 2
16, Fearless FreaksThe, Erminie But, 302.53, 1
17, Black Sheep, Alethea Ackwood, 848.11, 2
19, Journey from the Fall, Chloe Chattelaine, 152.68, 1
22, Taxi , Angie Bellingham, 474.73, 2
23, Rugrats in Paris The Movie, Fulvia Rousel, 462.69, 2
24, Travelling Salesman, Coraline Rysom, 350.66, 2
26, Walk Hard The Dewey Cox Story, Bruce Chisnell, 666.64, 2
